Area,Location,Price,Room,Bathroom,House Type,Square Feet
Kuala-Lumpur,     Kepong    ,    RM 288 000     , 3 Bedrooms , 2 Bathrooms , Apartments ,860 sq.ft
Kuala-Lumpur,     Sri Damansara    ,    RM 185 000     , 3 Bedrooms , 2 Bathrooms , Apartments ,650 sq.ft
Kuala-Lumpur,     Kepong    ,    RM 270 000     , 3 Bedrooms , 2 Bathrooms , Apartments ,962 sq.ft
Kuala-Lumpur,     KLCC    ,    RM 638 000     , 3 Bedrooms , 2 Bathrooms , Apartments ,950 sq.ft
Kuala-Lumpur,     Sentul    ,    RM 299 000     , 4 Bedrooms , 2 Bathrooms , Apartments ,1025 sq.ft
Kuala-Lumpur,     Kepong    ,    RM 360 000     , 3 Bedrooms , 2 Bathrooms , Apartments ,1081 sq.ft
Kuala-Lumpur,     Kepong    ,    RM 335 000     , 3 Bedrooms , 2 Bathrooms , Apartments ,950 sq.ft
Kuala-Lumpur,     Sri Damansara    ,    RM 370 000     , 3 Bedrooms , 2 Bathrooms , Apartments ,811 sq.ft
Kuala-Lumpur,     Cheras    ,    RM 540 000     , 4 Bedrooms , 3 Bathrooms , Houses ,1963 sq.ft
Kuala-Lumpur,     Jinjang    ,    RM 318 000     , 3 Bedrooms , 2 Bathrooms , Apartments ,998 sq.ft
Kuala-Lumpur,     Old Klang Road    ,    RM 300 000     , 4 Bedrooms , 2 Bathrooms , Apartments ,1000 sq.ft
Kuala-Lumpur,     Sentul    ,    RM 385 000     , 3 Bedrooms , 2 Bathrooms , Apartments ,1050 sq.ft
Kuala-Lumpur,     Damansara    ,    RM 1 800 000     , 4 Bedrooms , 3 Bathrooms , Houses ,1650 sq.ft
Kuala-Lumpur,     Jalan Ipoh    ,    RM 355 000     , 3 Bedrooms , 2 Bathrooms , Apartments ,1015 sq.ft
Kuala-Lumpur,     Sri Damansara    ,    RM 370 000     , 3 Bedrooms , 2 Bathrooms , Apartments ,864 sq.ft
Kuala-Lumpur,     Kepong    ,    RM 130 000     , 3 Bedrooms , 2 Bathrooms , Apartments ,650 sq.ft
Kuala-Lumpur,     Ampang Hilir    ,    RM 325 000     , 2 Bedrooms , 2 Bathrooms , Apartments ,807 sq.ft
Kuala-Lumpur,     Cheras    ,    RM 550 000     , 5 Bedrooms , 2 Bathrooms , Houses ,1600 sq.ft
Kuala-Lumpur,     Setiawangsa    ,    RM 800 000     , 3 Bedrooms , 2 Bathrooms , Apartments ,1800 sq.ft
Kuala-Lumpur,     Kepong    ,    RM 250 000     , 3 Bedrooms , 2 Bathrooms , Apartments ,837 sq.ft
Kuala-Lumpur,     Ampang Hilir    ,    RM 811 111     , 2 Bedrooms , 2 Bathrooms , Apartments ,1065 sq.ft
Kuala-Lumpur,     Cheras    ,    RM 580 000     , 4 Bedrooms , 3 Bathrooms , Houses ,1400 sq.ft
Kuala-Lumpur,     Sri Petaling    ,    RM 450 000     , 3 Bedrooms , 2 Bathrooms , Houses ,1200 sq.ft
Kuala-Lumpur,     Sri Petaling    ,    RM 320 000     , 2 Bedrooms , 1 Bathroom , Houses ,1100 sq.ft
Kuala-Lumpur,     OUG    ,    RM 420 000     , 3 Bedrooms , 2 Bathrooms , Apartments ,950 sq.ft
Kuala-Lumpur,     Old Klang Road    ,    RM 373 000     , 1 Bedroom , 2 Bathrooms , Apartments ,775 sq.ft
Kuala-Lumpur,     Kepong    ,    RM 260 000     , 3 Bedrooms , 2 Bathrooms , Apartments ,957 sq.ft
Kuala-Lumpur,     Kepong    ,    RM 650 000     , 4 Bedrooms , 3 Bathrooms , Houses ,1200 sq.ft
Kuala-Lumpur,     Bukit Bintang    ,    RM 1 580 000     , 2 Bedrooms , 2 Bathrooms , Apartments ,935 sq.ft
Kuala-Lumpur,     Bukit Bintang    ,    RM 1 390 000     , 2 Bedrooms , 2 Bathrooms , Apartments ,895 sq.ft
Kuala-Lumpur,     Bukit Bintang    ,    RM 1 000 000     , 2 Bedrooms , 1 Bathroom , Apartments ,702 sq.ft
Kuala-Lumpur,     Sentul    ,    RM 270 000     , 3 Bedrooms , 2 Bathrooms , Apartments ,733 sq.ft
Kuala-Lumpur,     Jalan Ipoh    ,    RM 350 000     , 3 Bedrooms , 2 Bathrooms , Apartments ,1015 sq.ft
Kuala-Lumpur,     Kepong    ,    RM 245 000     , 2 Bedrooms , 2 Bathrooms , Apartments ,828 sq.ft
Kuala-Lumpur,     Cheras    ,    RM 200 000     , 3 Bedrooms , 2 Bathrooms , Apartments ,650 sq.ft
Kuala-Lumpur,     Cheras    ,    RM 670 000     , 4 Bedrooms , 3 Bathrooms , Houses ,1650 sq.ft
Kuala-Lumpur,     Sungai Besi    ,    RM 250 000     , 3 Bedrooms , 2 Bathrooms , Apartments ,855 sq.ft
Kuala-Lumpur,     Taman Melawati    ,    RM 400 000     , 2 Bedrooms , 2 Bathrooms , Houses ,840 sq.ft
